sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0009952";"anterior/posterior pattern specification";"43/575";"231/23328";2.27549260844099e-25;9.10424592637238e-22;8.4001606082132e-22;"Acvr2b/Aldh1a2/Cdon/Celsr1/Ets2/Foxb1/Foxc2/Foxf1/Gbx2/Hes5/Hes6/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Msx2/Ror2/Tbx3/Tifab/Zbtb16";43
"H3K27me3";"H3K27me3";"GO:0003002";"regionalization";"50/575";"379/23328";2.67295981528776e-22;5.34725611048316e-19;4.93372109063904e-19;"Acvr2b/Aldh1a2/Cdon/Celsr1/Ets2/Evx1/Fgfr2/Foxb1/Foxc2/Foxf1/Gbx2/Gsc/Hes5/Hes6/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Mafb/Msx2/Ror2/Rpgrip1l/Sox1/Tbx3/Tifab/Traf3ip1/Zbtb16";50
"H3K27me3";"H3K27me3";"GO:0007389";"pattern specification process";"55/575";"478/23328";1.48724159508639e-21;1.98348454064688e-18;1.83008992069052e-18;"Acvr2b/Aldh1a2/Cdon/Celsr1/Ets2/Evx1/Fgfr2/Foxb1/Foxc2/Foxf1/Gbx2/Gsc/Hand1/Hes5/Hes6/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Mafb/Mmp21/Msx2/Ror2/Rpgrip1l/Sox1/Tbx3/Tbx5/Tgfbr2/Tifab/Traf3ip1/Uncx/Zbtb16";55
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"26/575";"108/23328";9.23304037636695e-19;9.23534863646105e-16;8.52112436839971e-16;"Fgfr2/Foxc2/Gsc/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Pax5/Tgfbr2";26
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"28/575";"142/23328";1.23626511035674e-17;9.89259341307464e-15;9.12754050951809e-15;"Fgfr2/Foxc2/Gsc/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc5/Hoxc6/Hoxc9/Pax5/Tgfbr2";28
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"35/575";"253/23328";1.334298021896e-16;8.89754397600983e-14;8.20944414524434e-14;"Acvr2b/Barx2/Fgfr2/Foxc2/Gsc/Hottip/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc8/Hoxc9/Msx2/Pax5/Phospho1/Ror2/Tgfbr2/Tifab/Uncx";35
"H3K27me3";"H3K27me3";"GO:0048562";"embryonic organ morphogenesis";"38/575";"328/23328";2.52521857634763e-15;1.44334278913812e-12;1.33172053342122e-12;"Aldh1a2/Celsr1/Fgfr2/Foxc2/Foxf1/Gbx2/Gsc/Hand1/Hmx2/Hmx3/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Mafb/Pax5/Ror2/Tbx3/Tgfbr2/Th/Tifab";38
"H3K27me3";"H3K27me3";"GO:0035107";"appendage morphogenesis";"20/575";"175/23328";1.37020689877115e-08;6.09133089109262e-06;5.62025215671393e-06;"Aldh1a2/Dicer1/Fgfr2/Gna12/Hotair/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Hoxc10/Hoxc11/Msx2/Pitx1/Ror2/Rpgrip1l/Tbx3/Tbx5/Traf3ip1/Zbtb16";20
"H3K27me3";"H3K27me3";"GO:0035108";"limb morphogenesis";"20/575";"175/23328";1.37020689877115e-08;6.09133089109262e-06;5.62025215671393e-06;"Aldh1a2/Dicer1/Fgfr2/Gna12/Hotair/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Hoxc10/Hoxc11/Msx2/Pitx1/Ror2/Rpgrip1l/Tbx3/Tbx5/Traf3ip1/Zbtb16";20
"H3K27me3";"H3K27me3";"GO:0048736";"appendage development";"21/575";"202/23328";3.20310444626567e-08;1.16505644450081e-05;1.07495572182332e-05;"Aldh1a2/Dicer1/Fgfr2/Gna12/Hotair/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Hoxc10/Hoxc11/Hoxc13/Msx2/Pitx1/Ror2/Rpgrip1l/Tbx3/Tbx5/Traf3ip1/Zbtb16";21
