sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0007389";"pattern specification process";"25/263";"478/23328";2.29712505739911e-10;6.0405024899047e-07;5.42936902283225e-07;"Aurka/Ccdc39/Dnah11/Evx1/Fgfr2/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Irx1/Irx2/Irx3/Pax1/Pax3/Pcsk5/Plxna2/Rfx3/Six2/Six3";25
"H3K27me3";"H3K27me3";"GO:0003002";"regionalization";"22/263";"379/23328";4.17305871496007e-10;6.0405024899047e-07;5.42936902283225e-07;"Aurka/Evx1/Fgfr2/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Irx1/Irx2/Irx3/Pax1/Pax3/Pcsk5/Plxna2/Six2/Six3";22
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"18/263";"253/23328";6.92071463503161e-10;6.67848962280551e-07;6.00280932554321e-07;"Fgfr2/Hottip/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Mmp2/Pax1/Six2/Sox11/Sox6/Sox9/Wwox";18
"H3K27me3";"H3K27me3";"GO:0009952";"anterior/posterior pattern specification";"17/263";"231/23328";1.24491778565062e-09;9.01009247364637e-07;8.09851780560088e-07;"Aurka/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Pax1/Pax3/Pcsk5/Plxna2/Six2/Six3";17
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"12/263";"108/23328";3.50774738888138e-09;2.03098573816232e-06;1.82550558848732e-06;"Fgfr2/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Six2/Sox11";12
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"13/263";"142/23328";8.45427060676744e-09;4.07918556776529e-06;3.66648367367177e-06;"Fgfr2/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Pcsk5/Six2/Sox11";13
"H3K27me3";"H3K27me3";"GO:0048732";"gland development";"21/263";"471/23328";1.03715728111988e-07;4.28938618406007e-05;3.85541774274938e-05;"Aurka/Bcl11b/Cadm1/Ccdc39/Fgfr2/Hnf4a/Hoxa13/Hoxa3/Hoxa5/Hoxa9/Hp/Lmo4/Mki67/Mmp2/Pax1/Pax3/Six3/Slc6a3/Sox9/Tcf7l2/Tfap2c";21
"H3K27me3";"H3K27me3";"GO:0009954";"proximal/distal pattern formation";"7/263";"37/23328";1.64849481796654e-07;5.96549062251642e-05;5.36194630264906e-05;"Hoxa10/Hoxa11/Hoxa9/Irx1/Irx2/Irx3/Six3";7
"H3K27me3";"H3K27me3";"GO:0048562";"embryonic organ morphogenesis";"17/263";"328/23328";2.18762050435674e-07;6.87372253418609e-05;6.17829001163822e-05;"Ccdc39/Fgfr2/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Six2/Six3/Sox11/Sox9/Tcf7l2/Tead1";17
"H3K27me3";"H3K27me3";"GO:0045165";"cell fate commitment";"16/263";"292/23328";2.37434284427844e-07;6.87372253418609e-05;6.17829001163822e-05;"Bcl11b/Cyld/Evx1/Fgfr2/Hoxa11/Hoxa13/Hoxa2/Lmo4/Mitf/Pax3/Rtf2/Six2/Sox6/Sox9/Tcf7l2/Tfap2c";16
"H3K27me3";"H3K27me3";"GO:0060562";"epithelial tube morphogenesis";"17/263";"387/23328";2.15103107026134e-06;0.000566112268036963;0.000508837206285746;"Ccdc39/Ctsz/Epha4/Fgfr2/Hoxa11/Hoxa5/Irx1/Irx2/Irx3/Lmo4/Pax3/Rgma/Six2/Sox11/Sox9/Tead1/Tfap2c";17
"H3K27me3";"H3K27me3";"GO:0072070";"loop of Henle development";"4/263";"10/23328";3.14383506219814e-06;0.000758450208755302;0.000681715813487176;"Irx1/Irx2/Irx3/Pou3f3";4
"H3K27me3";"H3K27me3";"GO:0060174";"limb bud formation";"4/263";"11/23328";4.89651418345391e-06;0.00109041604316147;0.000980095794453284;"Fgfr2/Plxna2/Sox11/Sox9";4
"H3K27me3";"H3K27me3";"GO:0071300";"cellular response to retinoic acid";"6/263";"45/23328";1.09261386596974e-05;0.00225936938713027;0.00203078306517082;"Halr1/Hoxa1/Hoxa2/Rorb/Sox9/Tead1";6
"H3K27me3";"H3K27me3";"GO:0007379";"segment specification";"4/263";"15/23328";1.95456251634125e-05;0.00377230565653861;0.00339065160729514;"Hoxa2/Irx1/Irx2/Irx3";4
"H3K27me3";"H3K27me3";"GO:0043583";"ear development";"12/263";"246/23328";2.49105190383138e-05;0.00428053515003609;0.00384746219103325;"Atp8b1/Epha4/Fgfr2/Grxcr1/Gsdme/Hoxa1/Hoxa13/Hoxa2/Maf/Six2/Sox9/Ush2a";12
"H3K27me3";"H3K27me3";"GO:0003407";"neural retina development";"7/263";"77/23328";2.62353670223919e-05;0.00428053515003609;0.00384746219103325;"Irx5/Irx6/Ntrk2/Rorb/Sdk2/Six3/Sox9";7
"H3K27me3";"H3K27me3";"GO:0001655";"urogenital system development";"15/263";"376/23328";2.66147263214679e-05;0.00428053515003609;0.00384746219103325;"Cenpf/Epha4/Fgfr2/Gcnt1/Hoxa11/Hoxa13/Irx1/Irx2/Irx3/Mmp2/Ndufs6/Pcsk5/Pou3f3/Six2/Sox9";15
"H3K27me3";"H3K27me3";"GO:0035107";"appendage morphogenesis";"10/263";"175/23328";3.13290287847455e-05;0.00443100206291244;0.00398270597200965;"Fgfr2/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Pcsk5/Plxna2/Sox11/Sox9";10
