sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0009952";"anterior/posterior pattern specification";"44/503";"231/23328";8.82034861101523e-29;3.11270102482728e-25;2.91071504163503e-25;"Celsr1/Dmrt2/Emx2/Foxb1/Foxc2/Foxf1/Hes2/Hes3/Hes5/Hnf1b/Hoxa10/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd13/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Nle1/Tbx3/Yy1";44
"H3K27me3";"H3K27me3";"GO:0071234";"cellular response to phenylalanine";"18/503";"25/23328";3.14030251232571e-25;3.69404252199914e-22;3.45433276355828e-22;"Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";18
"H3K27me3";"H3K27me3";"GO:0080053";"response to phenylalanine";"18/503";"25/23328";3.14030251232571e-25;3.69404252199914e-22;3.45433276355828e-22;"Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";18
"H3K27me3";"H3K27me3";"GO:0003002";"regionalization";"48/503";"379/23328";3.70013022864344e-23;3.26443989422068e-20;3.05260743863084e-20;"Celsr1/Dmrt2/Dmrt3/Emx2/Evx1/Foxb1/Foxc2/Foxf1/Hes2/Hes3/Hes5/Hnf1b/Hoxa10/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd13/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Mafb/Nle1/Pax2/Tbx3/Yy1";48
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"31/503";"142/23328";1.80253503199787e-22;1.2722292255841e-19;1.18967312111859e-19;"Dlk1/Dmrt2/Dscaml1/Foxc2/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc5/Hoxc6/Hoxc9/Hoxd1/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd9/Tgfbr2";31
"H3K27me3";"H3K27me3";"GO:0007389";"pattern specification process";"52/503";"478/23328";6.11164205762124e-22;3.59466413689089e-19;3.36140313169168e-19;"Celsr1/Dmrt2/Dmrt3/Emx2/Evx1/Foxb1/Foxc2/Foxf1/Hand1/Hes2/Hes3/Hes5/Hnf1b/Hoxa10/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd12/Hoxd13/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Mafb/Nle1/Pax2/Tbx3/Tbx5/Tgfbr2/Yy1";52
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"26/503";"108/23328";3.36212703553367e-20;1.69499232977119e-17;1.58500274532301e-17;"Dscaml1/Foxc2/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd9/Tgfbr2";26
"H3K27me3";"H3K27me3";"GO:0048562";"embryonic organ morphogenesis";"37/503";"328/23328";2.02109904745315e-16;8.91557317307771e-14;8.33703357074424e-14;"Celsr1/Dscaml1/Foxc2/Foxf1/Hand1/Hmx2/Hmx3/Hnf1b/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd9/Mafb/Pax2/Sall1/Tbx3/Tgfbr2/Th";37
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"31/503";"253/23328";5.98617632025396e-15;2.3472462482418e-12;2.19493131742645e-12;"Dscaml1/Foxc2/Hottip/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Nle1/Phospho1/Tgfbr2";31
"H3K27me3";"H3K27me3";"GO:0060700";"regulation of ribonuclease activity";"10/503";"15/23328";5.42082444568923e-14;1.91300894688373e-11;1.78887206707745e-11;"Oas1a/Oas1b/Oas1c/Oas1d/Oas1e/Oas1f/Oas1g/Oas1h/Oas2/Oas3";10
