baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Itpr1	16.4836474389437	-4.58474977271901	0.139819325526152	-32.7905298889563	8.03492570925377e-236	1.11219441667491e-231
Inpp4b	29.0459289880528	7.98460337194355	0.24899305622552	32.0675744656576	1.24903723082255e-225	8.64458667452285e-222
Cacna1d	16.5328717953053	4.02429563321612	0.126143314791198	31.902567645994	2.45986519497711e-223	1.13498180096244e-219
Gria4	53.8549273967484	6.49409860020032	0.21280829863769	30.5161905892431	1.58930247511009e-204	5.49978121511846e-201
Myt1l	10.2120005616546	4.54424367024983	0.153846727626877	29.5374736944093	9.51212890348908e-192	2.63333776564192e-188
Wbscr17	10.7735078216308	4.96675163024472	0.171485008423411	28.9631827056356	1.91491938107224e-184	4.41771901213365e-181
Csmd1	27.774840188178	7.50780067903841	0.292921330860127	25.6307748465866	6.92700315365026e-145	1.36976539504038e-141
Luzp2	29.9182715920161	4.31687596615701	0.172374188358638	25.0436333146086	2.04819501062771e-138	3.54388941713859e-135
Atp2b1	9.38962982699879	4.58588411286196	0.186871839634325	24.5402631120651	5.49479003550126e-133	8.45098707460094e-130
Ntrk2	10.7486852489843	6.11585446448077	0.251378198916164	24.3292954235878	9.6040450787471e-131	1.32939191980017e-127
Ptprn2	7.79015071322308	4.52217065297432	0.188892400538655	23.9404583777784	1.16165955883768e-126	1.46179014667556e-123
Gpr158	13.1833874606439	4.71550910271272	0.197798256629384	23.8399932490214	1.28606842919747e-125	1.48347993307929e-122
Rbm39	18.4894411337244	1.80035797054296	0.0767192457354279	23.4668361671806	8.89949222280698e-122	9.47590548831494e-119
Plcb1	33.4091853400275	4.22579771320695	0.18112640868453	23.330654783572	2.16646443382819e-120	2.14201433521785e-117
Adgrl3	27.2225624507914	7.5994662104543	0.327681884613035	23.1915969948373	5.53509330667474e-119	5.10778410339945e-116
Grid1	8.48859018947379	7.53095884507775	0.329263743189474	22.872116960488	8.80562949137258e-116	7.6179702137237e-113
Mgat5	7.54261875105322	3.03622266242878	0.133156831219697	22.8018542842858	4.39496200291553e-115	3.57853317907981e-112
Nfia	17.8302445008112	4.98232089173885	0.219441629459804	22.7045383503747	4.04055882333657e-114	3.10718973514583e-111
Esrrg	15.6743930756971	5.48238774496274	0.241673019812743	22.6851460258604	6.27981137936637e-114	4.5750078480626e-111
Tbc1d4	8.58753551611617	5.4489082196787	0.244114802840108	22.3210889150695	2.30604664285728e-110	1.59601488152152e-107
Tcf4	28.1247137566587	7.80053556323965	0.349656489551095	22.3091399597769	3.01231922430146e-110	1.98554870013242e-107
Socs2	1.88724219589336	6.20069559634789	0.278709498323704	22.2478804405373	1.18250463935764e-109	7.44010418999476e-107
Zfpm2	16.7415662354609	4.63014017847004	0.210080303577252	22.0398585665953	1.19510022533935e-107	7.19242492136838e-105
Rab3c	4.01005752584575	3.93901343718361	0.179963658203609	21.8878271118886	3.39306436955757e-106	1.95694987514233e-103
March11	4.48869830322799	5.80227498673564	0.265253993463214	21.8744114310208	4.55349082026672e-106	2.52117679736528e-103
Prkcb	12.9930670132088	4.84401981325832	0.221984691556241	21.8214138069564	1.45297359709255e-105	7.7354078965212e-103
Erc2	9.85295700210602	2.13637858298342	0.098816281088531	21.6197023349767	1.17230926804791e-103	6.0100388475256e-101
Syn2	10.8350202270232	4.68537402130783	0.217426156763305	21.549265695794	5.37932817080125e-103	2.65930930500825e-100
