sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0031519";"PcG protein complex";"10/559";"48/23271";1.69954431429567e-07;8.07283549290443e-05;6.76239737688172e-05;"Aebp2/Asxl1/Cbx7/Dnmt3l/Eed/Jarid2/Mtf2/Phc1/Yy1/Zfp42";10
"ES";"ES";"GO:0005681";"spliceosomal complex";"18/559";"196/23271";1.31825816686555e-06;0.000226714690593832;0.000189912804530678;"Cwc22/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnph1/Hnrnpu/Luc7l2/Ncl/Pabpc1/Rbmxl1/Rnpc3/Smndc1/Snrnp48/Snrpe/Syncrip/Tra2a/Wac/Ybx1";18
"ES";"ES";"GO:0034708";"methyltransferase complex";"13/559";"105/23271";1.4318822563821e-06;0.000226714690593832;0.000189912804530678;"Aebp2/Ash2l/Dnmt3l/Eed/Erh/Jarid2/Kansl1/Kdm5b/Max/Mtf2/Rbbp5/Wdr77/Zc3h13";13
"ES";"ES";"GO:0000792";"heterochromatin";"12/559";"95/23271";2.92866095676264e-06;0.000270984983457384;0.000226996839328291;"Atrx/Cbx3/Cbx7/Dnmt3b/Dnmt3l/Eed/Hells/Phc1/Sall4/Smarcad1/Trim28/Zfp57";12
"ES";"ES";"GO:0035770";"ribonucleoprotein granule";"19/559";"229/23271";3.08555507572165e-06;0.000270984983457384;0.000226996839328291;"Caprin1/Dhx36/Eif2s1/G3bp2/Hnrnpa2b1/Hnrnpa3/Hnrnpu/Icosl/Ncl/Noct/Pabpc1/Psma6/Pum1/Pum2/Rbpms/Rps6/Top1/Trim71/Ybx1";19
"ES";"ES";"GO:0016607";"nuclear speck";"23/559";"320/23271";3.42296821209327e-06;0.000270984983457384;0.000226996839328291;"Bclaf1/Cdk13/Cdyl/Csnk1a1/Cwc22/Dennd1b/Dhx36/Hdac4/Hnrnpu/Jade1/Luc7l2/Nampt/Raf1/Rbbp6/Rbm39/Sfmbt2/Srsf10/Srsf11/Srsf3/Srsf7/Trip12/Ythdc1/Zc3h13";23
"ES";"ES";"GO:0098687";"chromosomal region";"22/559";"300/23271";4.03181033141252e-06;0.000273587129631564;0.000229176587259238;"Atrx/Cbx3/Crebbp/Csnk1a1/Dhx36/Dnmt3b/Hells/Hjurp/Hnrnpa2b1/Hnrnpu/Kansl1/Kat2b/Kat7/Mis12/Nabp1/Rad21/Rif1/Setx/Sin3a/Ska3/Terf1/Xrcc5";22
"ES";"ES";"GO:0036464";"cytoplasmic ribonucleoprotein granule";"18/559";"218/23271";5.97670274645538e-06;0.000319852477564789;0.000267931826081973;"Caprin1/Dhx36/Eif2s1/G3bp2/Hnrnpa2b1/Hnrnpu/Icosl/Ncl/Noct/Pabpc1/Psma6/Pum1/Pum2/Rbpms/Rps6/Top1/Trim71/Ybx1";18
"ES";"ES";"GO:0005720";"nuclear heterochromatin";"8/559";"42/23271";6.06036273280653e-06;0.000319852477564789;0.000267931826081973;"Atrx/Cbx3/Dnmt3b/Dnmt3l/Eed/Phc1/Trim28/Zfp57";8
"ES";"ES";"GO:0016605";"PML body";"10/559";"75/23271";1.20499625123238e-05;0.000572373219335383;0.000479461666279833;"Atrx/Crebbp/Eif3e/Max/Morc3/N4bp1/Pias2/Rnf4/Senp2/Tdp2";10
"ES";"ES";"GO:0035097";"histone methyltransferase complex";"10/559";"80/23271";2.15007422651159e-05;0.00092844114326637;0.000777730198680749;"Aebp2/Ash2l/Dnmt3l/Eed/Jarid2/Kansl1/Kdm5b/Max/Mtf2/Rbbp5";10
"ES";"ES";"GO:0035098";"ESC/E(Z) complex";"5/559";"16/23271";2.75537523848537e-05;0.00109066936523379;0.000913624421181991;"Aebp2/Dnmt3l/Eed/Jarid2/Mtf2";5
"ES";"ES";"GO:0010494";"cytoplasmic stress granule";"9/559";"70/23271";4.41207942305393e-05;0.00161210594303894;0.00135041783150962;"Caprin1/Dhx36/Eif2s1/G3bp2/Pabpc1/Pum1/Pum2/Rbpms/Ybx1";9
"ES";"ES";"GO:0031248";"protein acetyltransferase complex";"10/559";"91/23271";6.63122788529794e-05;0.00209988883034435;0.00175902044957377;"Crebbp/Jade1/Kansl1/Kat2b/Kat6b/Kat7/Msl2/Naa15/Naa20/Naa30";10
"ES";"ES";"GO:1902493";"acetyltransferase complex";"10/559";"91/23271";6.63122788529794e-05;0.00209988883034435;0.00175902044957377;"Crebbp/Jade1/Kansl1/Kat2b/Kat6b/Kat7/Msl2/Naa15/Naa20/Naa30";10
"ES";"ES";"GO:0000775";"chromosome, centromeric region";"15/559";"201/23271";0.000111421726244528;0.00330783249788442;0.00277088240265997;"Atrx/Cbx3/Crebbp/Csnk1a1/Dnmt3b/Hells/Hjurp/Hnrnpu/Kansl1/Kat2b/Kat7/Mis12/Rad21/Sin3a/Ska3";15
"ES";"ES";"GO:0005667";"transcription regulator complex";"25/559";"460/23271";0.000143554691981821;0.00401108698184501;0.00335997978756213;"Atf1/Cdk7/Cops5/Crebbp/Gtf2e1/Gtf2h1/Hdac4/Hnrnpu/Max/Mier1/Naa15/Ncoa3/Nfyc/Nrbf2/Nrf1/Rbpj/Rest/Sall4/Sin3a/Tcf7l1/Tfcp2l1/Trerf1/Trim28/Yy1/Zfp42";25
"ES";"ES";"GO:0001650";"fibrillar center";"11/559";"125/23271";0.000218835958731477;0.00577483779985843;0.0048374264561695;"Arhgap32/Herc4/Mtdh/Ncl/Nop58/Tcof1/Terf1/Top1/Trerf1/Ube2n/Utp4";11
"ES";"ES";"GO:0043596";"nuclear replication fork";"6/559";"38/23271";0.000268514978566495;0.00671287446416237;0.00562319456499363;"Etaa1/Mcm10/Mms22l/Smarcad1/Tipin/Top1";6
