sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0004867";"serine-type endopeptidase inhibitor activity";"17/559";"129/22669";1.99641445803144e-08;1.24576262181162e-05;1.18313825249653e-05;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9";17
"H3K27me3";"H3K27me3";"GO:0001227";"DNA-binding transcription repressor activity, RNA polymerase II-specific";"26/559";"344/22669";4.97602093707113e-07;0.000106463053577298;0.000101111165931206;"Ascl2/Dlx4/Ets2/Gsc/Hand1/Hes5/Hes6/Hoxa2/Hoxb13/Hoxb8/Ikzf5/Irf8/Lrrfip1/Mafk/Msx2/Nfe2l1/Ppara/Smad5/Sp2/Tbx3/Tfap2c/Zbtb16/Zfhx3/Zfp202/Zfp217/Zfp692";26
"H3K27me3";"H3K27me3";"GO:0001217";"DNA-binding transcription repressor activity";"26/559";"345/22669";5.25962281877425e-07;0.000106463053577298;0.000101111165931206;"Ascl2/Dlx4/Ets2/Gsc/Hand1/Hes5/Hes6/Hoxa2/Hoxb13/Hoxb8/Ikzf5/Irf8/Lrrfip1/Mafk/Msx2/Nfe2l1/Ppara/Smad5/Sp2/Tbx3/Tfap2c/Zbtb16/Zfhx3/Zfp202/Zfp217/Zfp692";26
"H3K27me3";"H3K27me3";"GO:0043539";"protein serine/threonine kinase activator activity";"9/559";"42/22669";6.82455471649348e-07;0.000106463053577298;0.000101111165931206;"Ccnk/Igf2/Irgm2/Tcl1/Tcl1b1/Tcl1b2/Tcl1b3/Tcl1b4/Tcl1b5";9
"H3K27me3";"H3K27me3";"GO:0004866";"endopeptidase inhibitor activity";"18/559";"213/22669";6.1681505414494e-06;0.000769785187572885;0.000731088158912845;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Ube2z";18
"H3K27me3";"H3K27me3";"GO:0030414";"peptidase inhibitor activity";"18/559";"219/22669";9.06137219560852e-06;0.000942382708343286;0.000895009218618877;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Ube2z";18
"H3K27me3";"H3K27me3";"GO:0061135";"endopeptidase regulator activity";"18/559";"223/22669";1.1614684347415e-05;0.00103536614754099;0.000983318389111973;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Ube2z";18
"H3K27me3";"H3K27me3";"GO:0061134";"peptidase regulator activity";"18/559";"254/22669";6.54002583875879e-05;0.00510122015423186;0.00484478229897527;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Ube2z";18
"H3K27me3";"H3K27me3";"GO:0004857";"enzyme inhibitor activity";"23/559";"392/22669";0.000125434733556882;0.00869680819327718;0.00825962046696196;"Elfn1/Gskip/Macroh2a1/Ppp1r9b/Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Sh3bp5l/Ube2z";23
"H3K27me3";"H3K27me3";"GO:0030295";"protein kinase activator activity";"9/559";"83/22669";0.000205474928503498;0.0128216355386183;0.0121770931313126;"Ccnk/Igf2/Irgm2/Tcl1/Tcl1b1/Tcl1b2/Tcl1b3/Tcl1b4/Tcl1b5";9
