sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0006397";"mRNA processing";"44/558";"462/23328";6.94820818247568e-15;2.79595897262821e-11;2.39384056644662e-11;"Cdc73/Cdk13/Celf1/Cpsf4l/Cwc22/Dhx36/Hnrnpa1/Hnrnpa2b1/Hnrnpa3/Hnrnph1/Hnrnpu/Luc7l2/Ncl/Pabpc1/Papola/Pcf11/Prdx6/Rbbp6/Rbm25/Rbm26/Rbm39/Rbmxl1/Rest/Rngtt/Rnpc3/Scaf4/Scaf8/Setx/Slbp/Smndc1/Snrnp48/Snrpe/Srrt/Srsf10/Srsf3/Srsf7/Syncrip/Tardbp/Tbrg4/Tcerg1/Tra2a/Ybx1/Ythdc1/Zc3h13";44
"ES";"ES";"GO:0016569";"covalent chromatin modification";"41/558";"462/23328";6.19742939448756e-13;1.2469227941709e-09;1.06758875832409e-09;"Ash2l/Asxl1/Atrx/Brd4/Cdc73/Crebbp/Dnmt3b/Dppa2/Eed/Hat1/Hdac4/Hells/Huwe1/Jade1/Jarid2/Kansl1/Kat2b/Kat6b/Kat7/Kdm5b/Mier1/Msl2/Mtf2/Phc1/Rbbp5/Resf1/Rest/Rif1/Rlf/Sin3a/Smarcad1/Smyd3/Tet1/Tet2/Trerf1/Trim28/Trip12/Ube2n/Ubr5/Usp7/Wac";41
"ES";"ES";"GO:0000209";"protein polyubiquitination";"28/558";"237/23328";3.82478385714813e-12;5.13031008038803e-09;4.39246230331433e-09;"Cdc26/Cul1/Cul3/Dtl/Dzip3/Fbxo22/Fbxo38/Huwe1/Marchf7/Nedd4/Plaa/Rnf146/Rnf165/Rnf4/Skp2/Trim71/Triml1/Triml2/Trip12/Ube2d3/Ube2g1/Ube2k/Ube2n/Ube2q2/Ubr5/Xiap/Zfp91/Znrf1";28
"ES";"ES";"GO:1903311";"regulation of mRNA metabolic process";"29/558";"266/23328";1.1729627739452e-11;1.18000055058887e-08;1.01029135766385e-08;"Cdc73/Celf1/Dhx36/Hnrnpa2b1/Hnrnpu/Mettl16/Ncl/Noct/Pabpc1/Papola/Prdx6/Pum1/Pum2/Rbm25/Rbm39/Rbmxl1/Rest/Srsf10/Srsf3/Srsf7/Syncrip/Taf15/Tardbp/Tbrg4/Tra2a/Trim71/Ybx1/Ythdc1/Ythdf3";29
"ES";"ES";"GO:0016570";"histone modification";"38/558";"448/23328";1.73141113503553e-11;1.3934396814766e-08;1.19303339894133e-08;"Ash2l/Asxl1/Atrx/Brd4/Cdc73/Crebbp/Dnmt3b/Dppa2/Eed/Hat1/Hdac4/Huwe1/Jade1/Jarid2/Kansl1/Kat2b/Kat6b/Kat7/Kdm5b/Mier1/Msl2/Mtf2/Phc1/Rbbp5/Rest/Rif1/Rlf/Sin3a/Smarcad1/Smyd3/Tet1/Tet2/Trerf1/Trip12/Ube2n/Ubr5/Usp7/Wac";38
"ES";"ES";"GO:0022613";"ribonucleoprotein complex biogenesis";"36/558";"409/23328";2.09699549056086e-11;1.40638497566948e-08;1.20411688431679e-08;"Cdc73/Celf1/Chd7/Eif3a/Eif4b/Eif4h/Eif5/Exosc5/Gtpbp10/Hsp90aa1/Kat2b/Luc7l2/Mettl16/Nat10/Ncl/Nol10/Nop58/Pten/Rbmxl1/Rcl1/Riok2/Rpl26/Rps14/Rps5/Rps6/Rrn3/Rrp15/Rsl1d1/Setx/Snrpe/Srsf10/Utp14a/Utp4/Wdr75/Xrcc5/Ythdc1";36
"ES";"ES";"GO:0033044";"regulation of chromosome organization";"33/558";"369/23328";9.65029518968396e-11;4.85409848041103e-08;4.15597580997837e-08;"Atrx/Cct2/Cct7/Cdc26/Cul3/Dhx36/Dnmt3b/Dppa2/Eed/Gen1/Hnrnpa2b1/Hnrnpu/Jarid2/Kat2b/Kat7/Mier1/Mtf2/Nat10/Rad21/Resf1/Rif1/Riok2/Rnf4/Senp6/Sin3a/Terf1/Tet1/Tlk1/Trim28/Trip12/Ube2n/Ubr5/Xrcc5";33
"ES";"ES";"GO:1990830";"cellular response to leukemia inhibitory factor";"29/558";"311/23328";5.07713252649586e-10;2.00256222563396e-07;1.7145511573977e-07;"Adam23/Bclaf1/Eed/Elavl2/Enah/Gtf2h1/Hells/Hk2/Hnrnpu/Jarid2/Kat6b/Kdm5b/Mat2a/Mrpl15/Mtf2/Ncl/Pfkp/Phc1/Rif1/Rnf138/Spry4/Srsf3/Srsf7/Tfrc/Twistnb/Ubxn2a/Vegfc/Xrcc5/Zfp42";29
"ES";"ES";"GO:1990823";"response to leukemia inhibitory factor";"29/558";"312/23328";5.47420091500337e-10;2.00256222563396e-07;1.7145511573977e-07;"Adam23/Bclaf1/Eed/Elavl2/Enah/Gtf2h1/Hells/Hk2/Hnrnpu/Jarid2/Kat6b/Kdm5b/Mat2a/Mrpl15/Mtf2/Ncl/Pfkp/Phc1/Rif1/Rnf138/Spry4/Srsf3/Srsf7/Tfrc/Twistnb/Ubxn2a/Vegfc/Xrcc5/Zfp42";29
"ES";"ES";"GO:0006281";"DNA repair";"35/558";"481/23328";6.45627188725718e-09;2.16500317286024e-06;1.85362963920989e-06;"4930447C04Rik/Alkbh1/Atrx/Cdk7/Dtl/Etaa1/Gen1/Gtf2h1/Huwe1/Kat7/Mcm3/Mcm6/Mms22l/Msh6/Nabp1/Nucks1/Pms1/Rad21/Rad23b/Rev1/Rif1/Rnf138/Setx/Smarcad1/Tdp2/Trim28/Trip12/Ttc5/Ube2d3/Ube2n/Ubr5/Usp28/Usp7/Xrcc5/Yy1";35
