sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0009952";"anterior/posterior pattern specification";"44/503";"231/23328";8.82034861101523e-29;3.11270102482728e-25;2.91071504163503e-25;"Celsr1/Dmrt2/Emx2/Foxb1/Foxc2/Foxf1/Hes2/Hes3/Hes5/Hnf1b/Hoxa10/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd13/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Nle1/Tbx3/Yy1";44
"H3K27me3";"H3K27me3";"GO:0071234";"cellular response to phenylalanine";"18/503";"25/23328";3.14030251232571e-25;3.69404252199914e-22;3.45433276355828e-22;"Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";18
"H3K27me3";"H3K27me3";"GO:0080053";"response to phenylalanine";"18/503";"25/23328";3.14030251232571e-25;3.69404252199914e-22;3.45433276355828e-22;"Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";18
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"31/503";"142/23328";1.80253503199787e-22;1.2722292255841e-19;1.18967312111859e-19;"Dlk1/Dmrt2/Dscaml1/Foxc2/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc5/Hoxc6/Hoxc9/Hoxd1/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd9/Tgfbr2";31
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"26/503";"108/23328";3.36212703553367e-20;1.69499232977119e-17;1.58500274532301e-17;"Dscaml1/Foxc2/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd9/Tgfbr2";26
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"31/503";"253/23328";5.98617632025396e-15;2.3472462482418e-12;2.19493131742645e-12;"Dscaml1/Foxc2/Hottip/Hoxa11/Hoxa3/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc8/Hoxc9/Hoxd10/Hoxd11/Hoxd3/Hoxd4/Hoxd8/Hoxd9/Nle1/Phospho1/Tgfbr2";31
"H3K27me3";"H3K27me3";"GO:0060700";"regulation of ribonuclease activity";"10/503";"15/23328";5.42082444568923e-14;1.91300894688373e-11;1.78887206707745e-11;"Oas1a/Oas1b/Oas1c/Oas1d/Oas1e/Oas1f/Oas1g/Oas1h/Oas2/Oas3";10
"H3K27me3";"H3K27me3";"GO:0071229";"cellular response to acid chemical";"22/503";"185/23328";9.86730767030507e-11;3.16561170622787e-08;2.96019230109152e-08;"Anxa2/Atp5g1/Mir134/Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir379/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";22
"H3K27me3";"H3K27me3";"GO:0001101";"response to acid chemical";"22/503";"207/23328";8.70213512197304e-10;1.91936467784018e-07;1.79481536890694e-07;"Anxa2/Atp5g1/Mir134/Mir154/Mir3072/Mir369/Mir376a/Mir376b/Mir376c/Mir377/Mir379/Mir382/Mir409/Mir487b/Mir495/Mir496a/Mir539/Mir543/Mir544/Mir654/Mir666/Mir667";22
"H3K27me3";"H3K27me3";"GO:1990830";"cellular response to leukemia inhibitory factor";"26/503";"311/23328";4.66010173763573e-09;9.57622230958157e-07;8.95481258759399e-07;"Dtx1/Mir127/Mir196a-1/Mir196a-2/Mir300/Mir323/Mir345/Mir369/Mir370/Mir376a/Mir380/Mir381/Mir382/Mir409/Mir410/Mir431/Mir433/Mir434/Mir485/Mir493/Mir494/Mir539/Mir540/Mir544/Mir665/Mir679";26
