sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0004867";"serine-type endopeptidase inhibitor activity";"17/559";"129/22669";1.99641445803144e-08;1.24576262181162e-05;1.18313825249653e-05;"Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9";17
"H3K27me3";"H3K27me3";"GO:0001227";"DNA-binding transcription repressor activity, RNA polymerase II-specific";"26/559";"344/22669";4.97602093707113e-07;0.000106463053577298;0.000101111165931206;"Ascl2/Dlx4/Ets2/Gsc/Hand1/Hes5/Hes6/Hoxa2/Hoxb13/Hoxb8/Ikzf5/Irf8/Lrrfip1/Mafk/Msx2/Nfe2l1/Ppara/Smad5/Sp2/Tbx3/Tfap2c/Zbtb16/Zfhx3/Zfp202/Zfp217/Zfp692";26
"H3K27me3";"H3K27me3";"GO:0001217";"DNA-binding transcription repressor activity";"26/559";"345/22669";5.25962281877425e-07;0.000106463053577298;0.000101111165931206;"Ascl2/Dlx4/Ets2/Gsc/Hand1/Hes5/Hes6/Hoxa2/Hoxb13/Hoxb8/Ikzf5/Irf8/Lrrfip1/Mafk/Msx2/Nfe2l1/Ppara/Smad5/Sp2/Tbx3/Tfap2c/Zbtb16/Zfhx3/Zfp202/Zfp217/Zfp692";26
"H3K27me3";"H3K27me3";"GO:0043539";"protein serine/threonine kinase activator activity";"9/559";"42/22669";6.82455471649348e-07;0.000106463053577298;0.000101111165931206;"Ccnk/Igf2/Irgm2/Tcl1/Tcl1b1/Tcl1b2/Tcl1b3/Tcl1b4/Tcl1b5";9
"H3K27me3";"H3K27me3";"GO:0140297";"DNA-binding transcription factor binding";"20/559";"365/22669";0.000802805472135453;0.0417458845510436;0.0396473228782684;"Cbx5/Cdk5rap3/Ctbp2/Ets2/Gsc/Gtf2a2/Hand1/Hes6/Hoxa4/Hoxb4/Hoxc4/Per2/Ppara/Prdm16/Runx1/Rxra/Setd3/Tacc2/Tbx3/Tle3";20
"LaminB1";"LaminB1";"GO:0030021";"extracellular matrix structural constituent conferring compression resistance";"4/95";"14/22669";2.80527850595174e-07;6.05940157285576e-05;5.4924400221792e-05;"Dcn/Hapln1/Lum/Vcan";4
"LaminB1";"LaminB1";"GO:0050661";"NADP binding";"5/95";"48/22669";1.72563558139544e-06;0.000186104629137253;0.000168691330504528;"Fmo1/Fmo2/Fmo3/Fmo4/Kcnab1";5
"LaminB1";"LaminB1";"GO:0016709";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen";"5/95";"52/22669";2.58478651579518e-06;0.000186104629137253;0.000168691330504528;"Fmo1/Fmo2/Fmo3/Fmo4/Fmo6";5
"LaminB1";"LaminB1";"GO:0004089";"carbonate dehydratase activity";"3/95";"15/22669";3.1277482369358e-05;0.00168898404794533;0.00153095045281595;"Car1/Car2/Car3";3
"LaminB1";"LaminB1";"GO:0008020";"G protein-coupled photoreceptor activity";"2/95";"10/22669";0.000765089935145392;0.0183621584434894;0.0166440617470226;"Gpr52/Gpr88";2
"LaminB1";"LaminB1";"GO:0009881";"photoreceptor activity";"2/95";"12/22669";0.00111601783652348;0.0241059852689071;0.0218504544835123;"Gpr52/Gpr88";2
