baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Luzp2	29.9182715920161	-6.29241995279053	0.11537193661389	-54.5402992917513	0	0
Nhsl1	6.3318678446144	-6.82958935999126	0.168826452547219	-40.4533131920255	0	0
Slc1a3	11.2306869288255	-7.32323906200838	0.145623917166379	-50.2887108416498	0	0
Paqr8	5.44685341266622	-3.1082031765394	0.0850118737743092	-36.5619887968956	1.15002949890321e-292	3.74564607792777e-289
Map2k6	4.48859397859621	-3.90016941030524	0.114498009641414	-34.0632070594051	2.5875380312087e-254	6.74208909411738e-251
Npas3	22.1407412682527	-8.05669327993422	0.239901430691741	-33.5833481972294	2.93636816942111e-247	6.37583408520304e-244
Sfxn5	4.83124449728229	-4.32088854256554	0.129250392224589	-33.4303708344455	4.96469459206469e-245	9.24000587791697e-242
Plce1	5.22015605759636	-6.75861888418976	0.20246892202746	-33.3810187583905	2.58540404699838e-244	4.21033049053687e-241
Prex2	8.87010112908622	-8.31608932104963	0.249211037149738	-33.3696669945357	3.77760543996672e-244	5.46829374132071e-241
Mybpc1	3.54734640898406	-8.08677870439499	0.252235035617981	-32.0604894739632	1.56794677285832e-225	2.04272105567983e-222
Wdr17	12.8235182523529	-7.20632763218331	0.246948454616143	-29.1815052796537	3.32939241353612e-187	3.94321130577714e-184
Mpp6	5.16043734732666	-3.95685216471154	0.135765118347033	-29.1448364122316	9.71260672362684e-187	1.05446533662842e-183
Gabrb1	16.8012754802664	-6.46440494895984	0.225597011641899	-28.6546568232965	1.40258417704336e-180	1.40560512757853e-177
Plpp3	5.13610848770168	-7.0530741533536	0.248202191474613	-28.4166473770842	1.25940112640954e-177	1.17196270534739e-174
Qk	27.9075771116387	-3.7070768569777	0.131230218010248	-28.2486527355172	1.47862738878866e-175	1.28423717474258e-172
Ptprz1	21.3770919949032	-7.58083485190511	0.272022130379907	-27.8684489431712	6.43825571441955e-171	5.24234971546612e-168
Pla2g7	5.12545523420496	-5.63487488126606	0.21395810053909	-26.3363474767648	7.35766084372237e-153	5.63856502776559e-150
Ptprm	17.2581311256087	-6.03802713700791	0.230320655658998	-26.2157430897016	1.75796153331567e-151	1.27237349200203e-148
Phkg1	2.69495377195715	-5.6732729074573	0.218264054214607	-25.9927037819937	5.98808700379521e-149	4.10593670976021e-146
Ank2	60.0331166547098	-2.96472359179858	0.114449984524152	-25.9040977954257	5.98810612353057e-148	3.90065232886781e-145
Fgf14	85.2904105570312	6.52143148138443	0.251925073011657	25.8863931383387	9.47752597546311e-148	5.87967659087302e-145
Lrig1	2.1550861284343	-3.91369507921918	0.154609828067414	-25.3133654447419	2.27637568621041e-141	1.34802829272496e-138
Camk2g	2.73670861117311	-3.66293942044298	0.14639256265428	-25.0213491316041	3.58111759723417e-138	2.02846956768551e-135
Lama2	7.17818644214182	-5.81683163571001	0.232958365192186	-24.969404429462	1.31460838032102e-137	7.13613249117595e-135
Ccdc88a	6.56422939609619	-4.65707882391344	0.18775420881376	-24.8041247828056	8.09178537011325e-136	4.21679119207342e-133
Slc4a4	18.2621098544762	-1.98896245156688	0.0809444257554111	-24.5719508539959	2.52032186815212e-133	1.26287512685715e-130
Gpc6	15.7425747331077	-6.33083413285787	0.259038850584839	-24.4397090188	6.47452975569901e-132	3.12408050582395e-129
Plcb1	33.4091853400275	-3.9813647879817	0.167444357753842	-23.7772406391541	5.74465110259913e-125	2.67290409159505e-122
Gria1	12.1023651609352	-8.74649971791796	0.369041219045373	-23.700603798522	3.55436722123112e-124	1.59676883304135e-121
Grin2b	6.97820168928022	-5.01179812538234	0.21230399417323	-23.6067067174108	3.28891179528142e-123	1.42826476229754e-120
Acsbg1	1.43261496741262	-5.81274603004105	0.248876118812674	-23.3559815131006	1.19818225356075e-120	5.03545754819015e-118
Abi3bp	1.3874946287633	-6.40112154481742	0.274172628101589	-23.3470481321922	1.47667769977248e-120	6.01192408519869e-118
Zeb2	15.0535602905219	-8.48536409890861	0.364506198838753	-23.2790666549468	7.22506508581405e-120	2.85236811933289e-117
Gabra2	2.94294674090798	-5.07947853994684	0.221535214954121	-22.9285377541389	2.41302739359996e-116	9.24615320112362e-114
Htra1	3.04275258079936	-6.07991292961859	0.26791556051302	-22.6933923433802	5.2063288894516e-114	1.93794436490787e-111
Gm3764	11.5724195812318	-3.17349133615328	0.140387519271988	-22.6052241154353	3.85016878364868e-113	1.39333330314931e-110
Rorb	3.2552464357822	-7.85866224073291	0.348872121455575	-22.5259106630382	2.31355680119136e-112	8.14622108268136e-110
Grid2	178.250974584135	-3.57430863002866	0.159023834666935	-22.476559174383	7.03881773991446e-112	2.41320309251594e-109
Mapk4	6.56853938648605	-3.01404820288436	0.13534164547612	-22.2699243258141	7.23232661729062e-110	2.41596797871954e-107
Slc6a1	8.37643174773771	-6.4637570744151	0.290532545934112	-22.2479621125854	1.18035362420972e-109	3.84441175405106e-107
Hepacam	2.62244409597391	-7.92535318229398	0.360768958598124	-21.9679465026324	5.83474690569408e-107	1.85402640700933e-104
Cap2	3.06148290660301	-2.67458002888795	0.122745629644301	-21.7896151304002	2.91086687111457e-105	9.02923180878111e-103
Pnpla7	3.31834608206207	-5.08888417500508	0.234823609039163	-21.6710925951078	3.84523170286661e-104	1.16501578197549e-101
Slc1a2	5.67203409096372	-4.49884620950895	0.209044067549333	-21.5210422484113	9.89139077303824e-103	2.92875088616232e-100
